dataset,mode,threshold_ratio,minutil,transactions,runtime_seconds,hui_count,candidates,visited_transactions,upper_bound_calculations
chess,hui-pr,0.25,539164.75,3196,3.8488755,6406,24377,616242,9621468
chess,hui-pr-star,0.25,539164.75,3196,6.605941250000001,6406,24316,613444,9320663
chess,hui-pr,0.255,549948.045,3196,3.488609875,4226,17148,556432,8815764
chess,hui-pr-star,0.255,549948.045,3196,6.148834083000001,4226,17082,554216,8565104
chess,hui-pr,0.26,560731.34,3196,3.191366291999998,2875,12488,499151,8085438
chess,hui-pr-star,0.26,560731.34,3196,5.889250915999998,2875,12433,497194,7855633
chess,hui-pr,0.265,571514.635,3196,2.9619816669999963,1911,9139,455416,7537281
chess,hui-pr-star,0.265,571514.635,3196,5.332644125000002,1911,9097,454476,7346479
chess,hui-pr,0.27,582297.93,3196,2.8024008339999966,1246,6631,417209,6976593
chess,hui-pr-star,0.27,582297.93,3196,4.973107207999995,1246,6595,416175,6802643
mushroom,hui-pr,0.14,477920.80000000005,8124,0.4175444999999982,415,871,153505,486795
mushroom,hui-pr-star,0.14,477920.80000000005,8124,0.5536109580000002,415,864,153237,473570
mushroom,hui-pr,0.1425,486455.1,8124,0.42336083400000035,293,673,153184,485487
mushroom,hui-pr-star,0.1425,486455.1,8124,0.5508322079999957,293,667,152904,472179
mushroom,hui-pr,0.145,494989.39999999997,8124,0.41507649999999785,199,498,148341,476349
mushroom,hui-pr-star,0.145,494989.39999999997,8124,0.5381852919999943,199,496,148086,463769
mushroom,hui-pr,0.1475,503523.69999999995,8124,0.39557129199999963,132,362,136640,474882
mushroom,hui-pr-star,0.1475,503523.69999999995,8124,0.5263041249999958,132,360,136395,462607
mushroom,hui-pr,0.15,512058.0,8124,0.39774849999999873,88,267,136513,472995
mushroom,hui-pr-star,0.15,512058.0,8124,0.5215855000000005,88,260,136260,460563
connect,hui-pr,0.289,14738955.204999998,67557,5.973548624999999,20416,96943,855692,6329187
connect,hui-pr-star,0.289,14738955.204999998,67557,7.905869708000004,20416,95921,851970,6044263
connect,hui-pr,0.291,14840954.895,67557,5.829464791999996,16317,80329,820199,5938071
connect,hui-pr-star,0.291,14840954.895,67557,7.638697249999993,16317,79413,816846,5684648
connect,hui-pr,0.293,14942954.584999999,67557,5.637242874999998,12869,66469,789506,5597499
connect,hui-pr-star,0.293,14942954.584999999,67557,7.652558749999997,12869,65680,786558,5371480
connect,hui-pr,0.295,15044954.274999999,67557,5.46945375,10136,54560,762744,5288976
connect,hui-pr-star,0.295,15044954.274999999,67557,7.199152333000001,10136,53799,759941,5088041
connect,hui-pr,0.297,15146953.965,67557,5.317113250000006,7894,44463,738903,4994601
connect,hui-pr-star,0.297,15146953.965,67557,7.079895792000002,7894,43765,736419,4816361
retail,hui-pr,0.003,44732.745,88162,9.421721000000005,59,271,15437726,1494306
retail,hui-pr-star,0.003,44732.745,88162,9.548522665999997,59,271,15437726,1391751
retail,hui-pr,0.004,59643.66,88162,4.376955124999995,41,103,4626215,405768
retail,hui-pr-star,0.004,59643.66,88162,4.332586207999981,41,103,4626215,374562
retail,hui-pr,0.005,74554.575,88162,3.1409501669999997,33,66,2335702,170388
retail,hui-pr-star,0.005,74554.575,88162,2.923900792000012,33,66,2335702,156781
retail,hui-pr,0.006,89465.49,88162,2.0711873750000223,27,38,905615,45468
retail,hui-pr-star,0.006,89465.49,88162,2.0245673749999753,27,38,905615,41773
retail,hui-pr,0.007,104376.405,88162,1.8008175839999865,20,28,632481,27399
retail,hui-pr-star,0.007,104376.405,88162,1.718305375,20,28,632481,25217
foodmart,hui-pr,0.0011,13212.125300000002,4141,2.4631767500000024,178,1529,6246976,120432
foodmart,hui-pr-star,0.0011,13212.125300000002,4141,2.435157624999988,178,1529,6246976,106546
foodmart,hui-pr,0.0012,14413.227599999998,4141,2.435337249999975,120,1504,6146848,119616
foodmart,hui-pr-star,0.0012,14413.227599999998,4141,2.428698459000003,120,1504,6146848,105805
foodmart,hui-pr,0.0013,15614.329899999999,4141,2.410902458999999,72,1491,6092226,119271
foodmart,hui-pr-star,0.0013,15614.329899999999,4141,2.4337256670000045,72,1491,6092226,105514
foodmart,hui-pr,0.0014,16815.4322,4141,2.358282124999988,49,1459,5955638,117927
foodmart,hui-pr-star,0.0014,16815.4322,4141,2.377409916000005,49,1459,5955638,104376
foodmart,hui-pr,0.0015,18016.5345,4141,2.3017550419999964,31,1422,5803182,116391
foodmart,hui-pr-star,0.0015,18016.5345,4141,2.3341147499999977,31,1422,5803182,103069
